CumleID,Parti,Cumle,PozSkor,NegSkor,algoritma_kod,elle_kod
213,AKP,"Enerji ve Madencilik Yerli ve millî, yenilikçi ve yeşil üretim yapısı anlayışıyla, millî teknoloji  hamlemizin desteğiyle, enerji alanında Türkiye Yüzyılı’nı büyük atılımlarla  karşılamaya hazırlanıyoruz.",2,0,pozitif,
685,CHP_IYI_Ortak,•  Yerli ilaç firmaların atıl durumdaki üretim kapasitesinin biyoteknolojik alana yönlendirilme­ sini teşvik edeceğiz.,2,0,pozitif,
766,MHP,"Büyük veriyi bir değere dönüştürebilme stratejisi doğrultusunda  nesnelerin interneti, bulut teknolojisi, blok zincir ve yapay zekâ  gibi yenilikçi teknolojilere yatırımların artırılmasını, büyük tekno­ loji firmalarının denetlenmesine ve faaliyetlerin düzenlenmesine  yönelik tedbir ve uygulamaların etkinleştirilmesini gerekli görüyo­ ruz.",0,0,nötr,
412,AKP,EAGÜ’ler için BM Teknoloji Bankası’nın 2018 yılında Gebze’de  kurulmasını sağladık.,0,0,nötr,
231,AKP,"•	 Ülkemizin mühendislik kabiliyetinin sembolü, bağımsızlığımızın gökyü- zündeki yeni temsilcisi olarak Taarruzi İnsansız Hava Aracımız Akıncı  ile Türkiye bu teknolojide dünyanın en ileri 3 ülkesinden biri olmuştur.",2,0,pozitif,
610,CHP_IYI_Ortak,"•  Avrupa Yeşil Mutabakatı çerçevesinde sanayinin dönüşümünü sağlayacak ve yeşil ekonomi  temelli teknoloji, finans ve servis şirketlerimizi destekleyeceğiz.",0,0,nötr,
362,AKP,"Bu doğrultuda, yüksek teknoloji yoğun- luklu ürünlerin ihracatı için kapsamlı ihracat destek programlarını oluş- turacağız.",2,0,pozitif,
342,AKP,"İ s t i ̇ k r a r l ı  v e  G ü ç l ü  E k o n o m i 277 •	 Özel sektörün yanında kamu kaynaklarıyla; Teknoloji ve İnovasyon  Fonu’nu, Bölgesel Kalkınma Fonu’nu, Bilişim Vadisi Girişim Sermayesi  Fonu’nu kurduk.",1,0,pozitif,
727,MHP,"Türkiye uzayın imkânlarından etkin şekilde yararlana­ cak, uluslararası enerji piyasasının belirleyici aktörlerinden olacak,  ürettiği değerlerle birçok alanda teknolojik rekabet üstünlüğü ka­ zanacaktır.",0,0,nötr,
66,AKP,98 T Ü R K İ Y E  Y Ü Z Y I L I  İ ç i n  D o ğ r u  A d ı m l a r •	 UNDP İstanbul Uluslararası Özel Sektör ve Kalkınma Merkezi ve BM  Teknoloji Bankası gibi kuruluşların proje ve program bazlı işbirliği çaba- larına aktif destek sağlayacağız.,2,0,pozitif,
